date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2022-03-03,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
2022-03-04,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
2022-03-07,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
2022-03-08,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
2022-03-09,put_credit_spread,-120.0,0.0,-120.0,1,5627.4690530000025
2022-03-10,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-11,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-14,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-15,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-16,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-17,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-18,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-21,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-22,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-23,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-24,put_credit_spread,0.0,0.0,0.0,1,5627.4690530000025
2022-03-25,put_credit_spread,365.5,0.0,365.5,1,5992.9690530000025
2022-03-28,put_credit_spread,-2.1145,0.0,-2.1145,1,5990.854553000003
2022-03-29,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-03-30,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-03-31,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-01,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-04,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-05,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-06,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-07,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-08,put_credit_spread,0.0,0.0,0.0,1,5990.854553000003
2022-04-11,put_credit_spread,-129.0,0.0,-129.0,1,5861.854553000003
2022-04-12,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-13,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
2022-04-14,put_credit_spread,0.0,0.0,0.0,1,5861.854553000003
